playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,0UpHEi794wCm1QMSLV6J4M,像极了,62,,78EWtfjj7daNa4FrTSPQsD,Ryan.B,"['chinese r&b', 'c-pop', 'mandopop', 'chinese hip hop']",58,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4DvjeiAcWRxI9GZZOhzl2T,二月的烟火,14,,19nBOLVLKxrijWEvjpXFI8,苏星婕,"['chinese r&b', 'c-pop', 'mandopop', 'gufeng']",50,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7fWFlW0I0QBR4Z6ZNRlVwa,多想在平庸的生活拥抱你,53,,1lGtvqG3JDiT3bbnJaCxfe,隔壁老樊,"['mandopop', 'c-pop']",43,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,0UTEGfnVLic7VBHTC1ehl3,大雾,44,,0soEvGNC9WCR15ol32HgAf,"未知音素, 张一乔","['gufeng', 'c-pop', 'mandopop', 'chinese r&b']",27,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4ClJI6o5BHXyP3GhMBYiaB,一想到你呀（Live in summer）,21,,3WYT2b8pOLsLsqSaoWYr7U,sodagreen,"['mandopop', 'taiwanese pop', 'c-pop', 'taiwanese indie', 'chinese rock']",58,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4FhJ7YSRxATHnaRg4nGs6t,小情歌,65,,3WYT2b8pOLsLsqSaoWYr7U,sodagreen,"['mandopop', 'taiwanese pop', 'c-pop', 'taiwanese indie', 'chinese rock']",58,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,4NjMnvjb2GDxGsv09LRwpf,在太陽落下之前我們私奔吧,24,,4IuEkOrNCePRLpRYVWbUql,施語庭,"['chinese r&b', 'chinese indie', 'c-pop', 'chinese hip hop', 'mandopop', 'taiwanese indie', 'taiwanese pop']",25,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,57agyhzoHbT0G6JWLEGNDV,煙火星辰 (電視劇《你是我的榮耀》片頭曲),4,,5k5iMDK1nWLbb0eqMnpuKl,摩登兄弟劉宇寧,"['gufeng', 'c-pop', 'mandopop']",54,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,6OEOedlNGVd6mp1FH8rNWV,天问 - 网剧《山河令》主题曲,49,,5k5iMDK1nWLbb0eqMnpuKl,摩登兄弟劉宇寧,"['gufeng', 'c-pop', 'mandopop']",54,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2CzR1kgy1ScNIilEcdyJIE,天河梦（《仙剑四》天河主题曲）,29,,5k5iMDK1nWLbb0eqMnpuKl,摩登兄弟劉宇寧,"['gufeng', 'c-pop', 'mandopop']",54,,,,,,,,,,,,,
